name,lat,lng,type
New York,40.7588,-73.9851,city
Los Angeles,34.1139,-118.4068,city
Chicago,41.8373,-87.6862,city
Miami,25.7839,-80.2102,city
Dallas,32.7936,-96.7662,city
Philadelphia,40.0077,-75.1339,city
Houston,29.7863,-95.3889,city
Atlanta,33.7627,-84.4224,city
Washington,38.9047,-77.0163,city
Boston,42.3188,-71.0846,city
Phoenix,33.5722,-112.0891,city
Seattle,47.6211,-122.3244,city
San Francisco,37.7562,-122.443,city
Detroit,42.3834,-83.1024,city
San Diego,32.8312,-117.1225,city
Minneapolis,44.9635,-93.2678,city
Tampa,27.9942,-82.4451,city
Denver,39.7621,-104.8759,city
Baltimore,39.3051,-76.6144,city
Las Vegas,36.2333,-115.2654,city
Portland,45.5372,-122.65,city
San Antonio,29.4658,-98.5253,city
St. Louis,38.6358,-90.2451,city
Sacramento,38.5667,-121.4683,city
Orlando,28.4772,-81.3369,city
San Jose,37.3019,-121.8486,city
Cleveland,41.4767,-81.6804,city
Pittsburgh,40.4396,-79.9762,city
Austin,30.3004,-97.7522,city
Cincinnati,39.1413,-84.5061,city
Kansas City,39.1239,-94.5541,city
Indianapolis,39.7771,-86.1458,city
Columbus,39.9862,-82.985,city
Charlotte,35.208,-80.8304,city
Virginia Beach,36.7335,-76.0435,city
Providence,41.823,-71.4187,city
Jacksonville,30.3322,-81.6749,city
Salt Lake City,40.7777,-111.9306,city
Nashville,36.1715,-86.7843,city
Richmond,37.5295,-77.4756,city
Memphis,35.1046,-89.9773,city
Raleigh,35.8325,-78.6435,city
New Orleans,30.0687,-89.9288,city
Louisville,38.1663,-85.6485,city
Oklahoma City,35.4676,-97.5136,city
Fort Worth,32.7811,-97.3473,city
Hartford,41.7661,-72.6834,city
Tucson,32.1545,-110.8782,city
Omaha,41.2627,-96.0522,city
El Paso,31.8479,-106.4309,city
Albuquerque,35.1053,-106.6464,city
Birmingham,33.5277,-86.7987,city
Colorado Springs,38.8674,-104.7606,city
Fredericksburg,38.2992,-77.4872,city
Stanley,44.2106127,-114.9561151,city
Breckenridge,39.482231,-106.046181,city
Whitefish,48.4329,-114.3591,city
Leavenworth,47.596233,-120.661476,city
Annapolis,38.978443,-76.49218,city
Chincoteague,37.9591,-75.3496,city
Stowe,44.475277,-72.702225,city
Broken Bow,34.029278,-94.739105,city
Hatteras,35.250538,-75.528824,city
Newport,41.490578,-71.310196,city
Page,36.917839,-111.458664,city
Moab,38.573315,-109.549843,city
Portland,43.65545,-70.26162,city
Fort Lauderdale,26.1412,-80.1464,city
Missoula,46.867428,-114.002385,city
Burlington,44.475883,-73.212074,city
Vale,39.641903,-106.373934,city
Sedona,34.871002,-111.760826,city
Milwaukee,43.0642,-87.9673,city
Santa Fe,35.685363,-105.938685,city
Acadia,44.35,-68.21,national_park
American Samoa,-14.25,-170.68,national_park
Arches,38.68,-109.57,national_park
Badlands,43.75,-102.5,national_park
Big Bend,29.25,-103.25,national_park
Biscayne,25.65,-80.08,national_park
Black Canyon of the Gunnison,38.57,-107.72,national_park
Bryce Canyon,37.57,-112.18,national_park
Canyonlands,38.2,-109.93,national_park
Capitol Reef,38.2,-111.17,national_park
Carlsbad Caverns,32.17,-104.44,national_park
Channel Islands,34.01,-119.42,national_park
Congaree,33.78,-80.78,national_park
Crater Lake,42.94,-122.1,national_park
Cuyahoga Valley,41.24,-81.55,national_park
Death Valley,36.24,-116.82,national_park
Dry Tortugas,24.63,-82.87,national_park
Everglades,25.32,-80.93,national_park
Glacier,48.8,-114,national_park
Glacier Bay,58.5,-137,national_park
Grand Canyon,36.06,-112.14,national_park
Grand Teton,43.73,-110.8,national_park
Great Basin,38.98,-114.3,national_park
Great Sand Dunes,37.73,-105.51,national_park
Great Smoky Mountains,35.68,-83.53,national_park
Guadalupe Mountains,31.92,-104.87,national_park
Hot Springs,34.51,-93.05,national_park
Isle Royale,48.1,-88.55,national_park
Joshua Tree,33.79,-115.9,national_park
Kings Canyon,36.8,-118.55,national_park
Lake Clark,60.97,-153.42,national_park
